side	eta	phi	depth	dphi	det	RBX	wedge	rm	BV/pix	card	QIE	rm_fib	fib_ch	pp/col	pp/row	pp coupler	pp/LC	dodec	crate	uhtr	uhtr_fib	fedid
1	27	65	7	2	ngHE	HEP17	17	3	48	2	10	4	3	1	3	HEP17 RM3A	4	8	34	11	19	1114
1	29	65	3	2	ngHE	HEP17	17	3	47	2	11	4	4	1	3	HEP17 RM3A	4	8	34	11	19	1114
1	27	65	6	2	ngHE	HEP17	17	3	46	2	12	4	5	1	3	HEP17 RM3A	4	8	34	11	19	1114
1	19	65	5	1	ngHE	HEP17	17	3	33	3	1	5	0	2	3	HEP17 RM3B	1	4	34	12	15	1114
1	25	65	4	2	ngHE	HEP17	17	3	26	3	2	5	1	2	3	HEP17 RM3B	1	4	34	12	15	1114
1	20	65	6	1	ngHE	HEP17	17	3	42	3	3	5	2	2	3	HEP17 RM3B	1	4	34	12	15	1114
1	20	65	5	1	ngHE	HEP17	17	3	34	3	4	5	3	2	3	HEP17 RM3B	1	4	34	12	15	1114
1	21	65	5	2	ngHE	HEP17	17	3	35	3	5	5	4	2	3	HEP17 RM3B	1	4	34	12	15	1114
1	21	65	6	2	ngHE	HEP17	17	3	43	3	6	5	5	2	3	HEP17 RM3B	1	4	34	12	15	1114
1	18	65	3	1	ngHE	HEP17	17	3	28	3	7	6	0	2	3	HEP17 RM3B	2	9	34	11	20	1114
1	27	65	4	2	ngHE	HEP17	17	3	27	3	8	6	1	2	3	HEP17 RM3B	2	9	34	11	20	1114
1	17	65	3	1	ngHE	HEP17	17	3	12	3	9	6	2	2	3	HEP17 RM3B	2	9	34	11	20	1114
1	18	65	5	1	ngHE	HEP17	17	3	11	3	10	6	3	2	3	HEP17 RM3B	2	9	34	11	20	1114
1	18	65	1	1	ngHE	HEP17	17	3	1	3	11	6	4	2	3	HEP17 RM3B	2	9	34	11	20	1114
1	18	65	4	1	ngHE	HEP17	17	3	9	3	12	6	5	2	3	HEP17 RM3B	2	9	34	11	20	1114
1	19	65	1	1	ngHE	HEP17	17	3	2	4	1	7	0	2	3	HEP17 RM3B	3	5	34	12	16	1114
1	20	65	1	1	ngHE	HEP17	17	3	3	4	2	7	1	2	3	HEP17 RM3B	3	5	34	12	16	1114
1	21	65	1	2	ngHE	HEP17	17	3	4	4	3	7	2	2	3	HEP17 RM3B	3	5	34	12	16	1114
1	23	65	1	2	ngHE	HEP17	17	3	5	4	4	7	3	2	3	HEP17 RM3B	3	5	34	12	16	1114
1	19	65	4	1	ngHE	HEP17	17	3	10	4	5	7	4	2	3	HEP17 RM3B	3	5	34	12	16	1114
1	25	65	1	2	ngHE	HEP17	17	3	6	4	6	7	5	2	3	HEP17 RM3B	3	5	34	12	16	1114
1	19	65	6	1	ngHE	HEP17	17	3	41	4	7	8	0	2	3	HEP17 RM3B	4	6	34	12	17	1114
1	23	65	4	2	ngHE	HEP17	17	3	25	4	8	8	1	2	3	HEP17 RM3B	4	6	34	12	17	1114
1	21	65	2	2	ngHE	HEP17	17	3	20	4	9	8	2	2	3	HEP17 RM3B	4	6	34	12	17	1114
1	20	65	2	1	ngHE	HEP17	17	3	19	4	10	8	3	2	3	HEP17 RM3B	4	6	34	12	17	1114
1	21	65	4	2	ngHE	HEP17	17	3	18	4	11	8	4	2	3	HEP17 RM3B	4	6	34	12	17	1114
1	20	65	4	1	ngHE	HEP17	17	3	17	4	12	8	5	2	3	HEP17 RM3B	4	6	34	12	17	1114
1	19	66	5	1	ngHE	HEP17	17	4	40	1	1	1	0	1	4	HEP17 RM4A	1	7	34	12	18	1114
1	19	66	6	1	ngHE	HEP17	17	4	48	1	2	1	1	1	4	HEP17 RM4A	1	7	34	12	18	1114
1	22	65	2	2	ngHE	HEP17	17	4	21	1	3	1	2	1	4	HEP17 RM4A	1	7	34	12	18	1114
1	20	66	2	1	ngHE	HEP17	17	4	22	1	4	1	3	1	4	HEP17 RM4A	1	7	34	12	18	1114
1	22	65	4	2	ngHE	HEP17	17	4	23	1	5	1	4	1	4	HEP17 RM4A	1	7	34	12	18	1114
1	20	66	4	1	ngHE	HEP17	17	4	24	1	6	1	5	1	4	HEP17 RM4A	1	7	34	12	18	1114
1	19	66	1	1	ngHE	HEP17	17	4	7	1	7	2	0	1	4	HEP17 RM4A	2	8	34	12	19	1114
1	20	66	1	1	ngHE	HEP17	17	4	6	1	8	2	1	1	4	HEP17 RM4A	2	8	34	12	19	1114
1	22	65	1	2	ngHE	HEP17	17	4	5	1	9	2	2	1	4	HEP17 RM4A	2	8	34	12	19	1114
